artist_name,track_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Jean-Michel Jarre,ALL THAT YOU LEAVE BEHIND - movement 4,0.504,0.267,0.46,0.511,0.314,-10.06,0.0344,119.964,0.0811
The Bloody Beetroots,Chronicles of a Fallen Love,0.0193,0.511,0.596,0.0007,0.0834,-5.05,0.053,124.964,0.0814
DJ Snake,Turn Down for What,0.0011,0.818,0.799,0.128,0.057,-4.1,0.156,100.014,0.0815
RL Grime,Era - Shadient & Wavedash Remix,0.0041,0.395,0.973,0.228,0.354,-4.209,0.175,150.012,0.0816
T-Pain,Can't Believe It,0.0024,0.578,0.546,0,0.0908,-8.149,0.0552,120.818,0.0819
$uicideBoy$,O' Lord! I Have My Doubts,0.315,0.711,0.54,0,0.103,-6.214,0.0941,110.037,0.0824
Staind,It's Been Awhile,0.0019,0.509,0.774,0.0005,0.143,-4.054,0.0338,116.529,0.0824
Bassnectar,Now (Run DMT Remix),0.0005,0.545,0.925,0.268,0.0958,-2.973,0.105,139.989,0.0828
Bassnectar,You & Me (Champagne Drip Remix),0.0025,0.509,0.831,0.0028,0.092,-2.88,0.0379,140.019,0.083
Hillsong UNITED,Prince Of Peace - Live,0.494,0.259,0.326,0.0011,0.0903,-11.061,0.0295,72.968,0.0831
Dole,Phara Oh,0.0173,0.875,0.617,0.862,0.0707,-9.073,0.0517,119.999,0.0831
Lil Wayne,She Will,0.0004,0.364,0.841,0,0.242,-4.831,0.119,100.14,0.0837
BANKS,Brain,0.268,0.526,0.493,0.0343,0.13,-8.636,0.0316,89.959,0.0838
Kayzo,FOREVER,0.314,0.496,0.939,0.0129,0.107,-3.44,0.434,149.905,0.084
Sid Sriram,It Isn't True,0.953,0.344,0.196,0.035,0.198,-12.802,0.0315,131.784,0.0842
Chase & Status,Crawling,0.0265,0.616,0.512,0.0006,0.0819,-7.472,0.0302,82.479,0.0855
Disturbed,Hell,0.0002,0.503,0.919,0.0007,0.0482,-5.292,0.0728,100.845,0.0855
RL Grime,Pressure,0.243,0.518,0.989,0.755,0.239,-2.997,0.0771,94.005,0.0856
Easton Corbin,Are You With Me,0.314,0.57,0.499,0,0.11,-6.512,0.0266,147.875,0.0866
Booka Shade,Night Surfing - Booka Shade Rework,0.0012,0.765,0.79,0.868,0.0944,-10.989,0.0512,124.006,0.0872
Junkie XL,The Warrior Within,0.425,0.134,0.59,0.802,0.0849,-11.283,0.0477,162.343,0.0872
Lil Durk,Preach,0.0011,0.604,0.539,0,0.128,-5.29,0.17,148.458,0.0875
The Crystal Method,Turbulence,0.0004,0.57,0.628,0.693,0.107,-9.258,0.0366,106.779,0.0876
The Rolling Stones,Play With Fire - Mono Version,0.238,0.574,0.413,0.0003,0.242,-9.548,0.0269,108.719,0.0876
The Prodigy,Serial Thrilla,0.026,0.465,0.989,0.546,0.888,-5.635,0.163,117.751,0.0879
Alison Wonderland,Already Gone,0.0017,0.584,0.579,0.001,0.201,-4.307,0.0339,135.088,0.0883
Lit Lords,Swings,0.0876,0.503,0.852,0.78,0.119,-5.249,0.129,144.963,0.0884
MARINA,Happy,0.872,0.289,0.35,0,0.0826,-10.856,0.0367,79.625,0.0885
Flight Facilities,Clair De Lune,0.737,0.665,0.322,0.669,0.123,-13.3,0.0278,115.021,0.0896
Goldfrapp,Annabel,0.976,0.589,0.143,0.0139,0.111,-14.214,0.0302,99.947,0.0899
Joel Mull,Gorgon - Original Mix,0.0422,0.659,0.911,0.873,0.111,-9.568,0.0387,131.483,0.0905
Getter,Dubstep Is Dead,0.0005,0.648,0.968,0.759,0.687,-6.157,0.0965,140.016,0.0906
Cage The Elephant,Flow,0.208,0.745,0.619,0.0126,0.133,-10.939,0.0331,107.025,0.0907
SLANDER,Running To You,0.008,0.465,0.855,0.0004,0.0749,-2.429,0.0615,149.941,0.0909
Underworld,Trapped,0.0374,0.54,0.703,0.684,0.135,-11.195,0.0409,175.98,0.0912
Foo Fighters,"Walk - Live at the Roundhouse, London, UK - July 2011",0.0008,0.228,0.981,0.0162,0.971,-5.685,0.114,144.737,0.0913
Massive Attack,Flat Of The Blade,0.745,0.36,0.347,0.0508,0.107,-13.945,0.0503,147.263,0.0913
Muse,Resistance,0.0616,0.467,0.774,0.289,0.108,-6.569,0.0485,135.006,0.0916
PARTYNEXTDOOR,Thirsty,0.0083,0.616,0.606,0.0002,0.176,-5.636,0.0332,104.184,0.0919
Moderat,Damage Done - Live,0.551,0.312,0.42,0.555,0.983,-14.658,0.0363,107.705,0.0926
Paul Oakenfold,Ready Steady Go! - Beatman & Ludmilla Radio Edit,0.0002,0.556,0.981,0.816,0.262,-1.035,0.0376,132.005,0.0927
Migos,Beast,0.0256,0.892,0.46,0,0.147,-7.814,0.0997,136.964,0.093
K CAMP,Actin Up,0.215,0.728,0.374,0,0.15,-10.504,0.256,114.931,0.0933
Ganja White Night,Tengri,0.0267,0.487,0.848,0.495,0.107,-5.218,0.0288,149.997,0.0934
Incubus,Aqueous Transmission,0.005,0.415,0.456,0.763,0.178,-12.082,0.0352,151.937,0.0935
Drake,Now & Forever,0.132,0.575,0.515,0,0.102,-7.325,0.0324,107.945,0.0946
Poshlaja Molli,Tipichnaja vecherinka s basseynom,0.0035,0.575,0.516,0.026,0.133,-9.54,0.0368,110.031,0.0946
A$AP Rocky,Back Home,0.193,0.321,0.887,0,0.231,-8.502,0.599,172.455,0.0946
Joyner Lucas,Riding Solo (feat. Busy Signal),0.0655,0.81,0.544,0,0.108,-5.954,0.0776,120.022,0.0947
Ryan Oakes,Drinking About You,0.184,0.685,0.708,0,0.111,-7.213,0.0778,140.042,0.0947
Led Zeppelin,In the Light,0.0699,0.309,0.337,0.0006,0.0421,-12.801,0.0385,127.212,0.0949
Leeland,Where You Are (Live),0.409,0.373,0.477,0.0004,0.0811,-8.052,0.0271,143.869,0.095
dvsn,Do It Well,0.0588,0.612,0.55,0,0.0909,-6.211,0.0533,144.83,0.095
alt-J,Nara,0.426,0.511,0.519,0.588,0.121,-7.794,0.0408,146.968,0.0953
Slushii,Closer,0.145,0.485,0.382,0.525,0.0736,-7.764,0.0663,187.864,0.0954
Kali Uchis,Ridin' Round,0.245,0.883,0.58,0.0002,0.0731,-7.287,0.0644,119.994,0.096
